TOTAL_SECONDS,SNIPPETS,THROUGH_PUT_ROWS,THROUGH_PUT_SIZE,Cluster
3,1,1253,35075,1
0,1,0,0,1
0,1,0,0,1
2,4,1,6,1
0,1,0,0,1
0,1,0,0,1
118,113,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,24,1
30,6,289,9235,1
0,1,0,0,1
2,3,25,3430,1
0,1,0,0,1
8,2,0,3,1
1,1,1,8,1
2,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,3588,71760,1
0,1,0,0,1
23,4,70077,13814384,5
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
0,1,0,0,1
20,3,1396,718518,1
0,1,0,0,1
0,1,0,0,1
0,3,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
1,1,1,8,1
0,2,0,0,1
0,1,0,0,1
1,1,1,16,1
0,1,0,0,1
0,1,0,0,1
1,1,4984,309008,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,4,0,0,1
0,1,0,0,1
0,3,0,0,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,2,0,0,1
0,2,0,0,1
35,15,0,0,1
1,1,1,28,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,2,0,0,1
3,5,180,36228,1
1,4,1,12,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
1,1,1,12,1
1,1,1,24,1
1,1,1,16,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
3,3,0,4,1
0,2,0,0,1
2131,1,22500,6845187,5
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
3,1,0,5,1
0,1,0,0,1
0,1,0,0,1
3,3,0,4,1
0,1,0,0,1
13,1,0,1,1
0,1,0,0,1
0,1,0,0,1
1,2,1,24,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,20,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
1,1,1,8,1
1,1,1,8,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,2,1,24,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
3,8,0,0,1
0,1,0,0,1
0,4,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
1,1,1,12,1
2,5,0,0,1
1,4,1,12,1
2,4,1,6,1
0,1,0,0,1
2,1,1,6,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,3,136132,14674972,5
2,1,1,44,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,4,1,12,1
1,2,1,24,1
0,1,0,0,1
1,1,48727,18362632,3
1,1,1,8,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,2,0,0,1
0,1,0,0,1
1,2,1,24,1
1,1,96,1920,1
2,1,1,44,1
0,1,0,0,1
2,2,1,16,1
2,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,88,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,4,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
1,1,1,20,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,4,0,0,1
0,1,0,0,1
0,1,0,0,1
1,4,1,12,1
1,2,1,24,1
0,2,0,0,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
144,1,223318,19071455,3
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,4,1,12,1
0,2,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,2,0,0,1
0,2,0,0,1
1,2,1,24,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,8,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
0,1,0,0,1
1,1,1,12,1
1,1,1,16,1
2,2,1,12,1
0,1,0,0,1
0,1,0,0,1
